,rank,accuracy,roc_auc,f1_score,precision
Decision Tree,1,0.8852040816326531,0.9223891087047063,0.8703170028818443,1.0
AdaBoost,2,0.8826530612244898,0.9181330695543524,0.8670520231213873,1.0
Gradient Boosting,3,0.8928571428571429,0.9074344023323614,0.88,1.0
XGBoost Tuned,4,0.8928571428571429,0.9066274468971262,0.88,1.0
XGBoost,5,0.8903061224489796,0.9065753852561432,0.8781869688385269,0.9872611464968153
Stacking,6,0.8903061224489796,0.9054820907955019,0.8774928774928775,0.9935483870967742
Bagging,7,0.8979591836734694,0.8960068721366097,0.8870056497175142,0.9936708860759493
Logistic Regression,8,0.7959183673469388,0.8864014993752602,0.782608695652174,0.8372093023255814
Random Forest,9,0.8443877551020408,0.8741409829237818,0.8168168168168168,0.9927007299270073
SVM,10,0.8112244897959183,0.8491513952519784,0.783625730994152,0.9178082191780822
Neural Network,11,0.8010204081632653,0.8380362349021241,0.7758620689655172,0.8881578947368421
KNN,12,0.7321428571428571,0.7726207830070804,0.7091412742382271,0.7757575757575758
